"time","MLoad.Sa","MLoad.Sb","MLoad.Sc","MLoad.Mpd","MLoad.Mpq","MLoad.Mnd","MLoad.Mnq","MLoad.Mhmd","MLoad.Mhmq","MGrid.Sa","MGrid.Sb","MGrid.Sc","DC_AC1.Sa","DC_AC1.Sb","DC_AC1.Sc","MGrid.Mpd","MGrid.Mpq","MGrid.Mnd","MGrid.Mnq","MGrid.Mhmd","MGrid.Mhmq","DC_AC1.Spd","DC_AC1.Spq","DC_AC1.Snd","DC_AC1.Snq","DC_AC1.Szmd","DC_AC1.Szmq","Va.v"
0.0014,30.3631,-3.75142,-30.5836,14.7046,-11.9547,1.9251,-22.4366,-5.23307,-6.34802,3.12275,0.0151408,-3.13789,27.2404,-3.76656,-27.4457,3.61462,-9.29666,-8.0898,-4.58072,-2.11706e-12,2.06495e-13,5.1593e-316,-11.9547,1.9251,-22.4366,-5.23307,-6.34802,146.613
0.0015,31.4087,-3.63603,-30.8392,15.4042,-11.2138,2.26133,-21.4745,-5.09276,-6.11723,3.64264,0.180662,-3.8233,27.766,-3.81669,-27.0159,4.31425,-9.25613,-8.3752,-3.94107,-2.00413e-12,3.8895e-13,6.36599e-313,-11.2138,2.26133,-21.4745,-5.09276,-6.11723,143.287
0.0016,32.3267,-3.47467,-31.0376,16.0996,-10.5377,2.61109,-20.5699,-4.9624,-5.91994,4.1256,0.398282,-4.52388,28.2011,-3.87295,-26.5137,5.00964,-9.18501,-8.58182,-3.27365,-1.90106e-12,5.45878e-13,4.00193e-322,-10.5377,2.61109,-20.5699,-4.9624,-5.91994,139.758
0.0017,33.1209,-3.26849,-31.1787,16.7886,-9.92286,2.97202,-19.7199,-4.84294,-5.75316,4.56783,0.666838,-5.23467,28.5531,-3.93533,-25.944,5.69863,-9.08662,-8.70972,-2.58986,-1.79239e-12,6.86878e-13,4.66839e-313,-9.92286,2.97202,-19.7199,-4.84294,-5.75316,136.03
0.0018,33.7946,-3.01872,-31.2626,17.4693,-9.36592,3.34196,-18.922,-4.73511,-5.614,4.96601,0.984738,-5.95075,28.8286,-4.00346,-25.3118,6.37926,-8.96403,-8.76026,-1.90044,-1.68796e-12,8.29029e-13,1.13635e-322,-9.36592,3.34196,-18.922,-4.73511,-5.614,132.109
0.0019,34.351,-2.72658,-31.2893,18.1398,-8.86358,3.71897,-18.1737,-4.63948,-5.49974,5.31734,1.35,-6.66735,29.0337,-4.07658,-24.622,7.04983,-8.82009,-8.73596,-1.21532,-1.58492e-12,9.47894e-13,1.18576e-322,-8.86358,3.71897,-18.1737,-4.63948,-5.49974,128.001
0.002,34.7935,-2.39336,-31.259,18.7988,-8.41267,4.10126,-17.4726,-4.55645,-5.4078,5.61949,1.76032,-7.37981,29.174,-4.15367,-23.8792,7.70882,-8.65746,-8.64037,-0.543606,-1.4888e-12,1.06272e-12,1.69119e-306,-8.41267,4.10126,-17.4726,-4.55645,-5.4078,123.71
0.0021,35.1252,-2.02038,-31.172,19.4449,-8.01014,4.48724,-16.8165,-4.4863,-5.33576,5.87059,2.21308,-8.08367,29.2547,-4.23346,-23.0883,8.35493,-8.47855,-8.47789,0.106542,-1.39271e-12,1.15281e-12,1.24612e-306,-8.01014,4.48724,-16.8165,-4.4863,-5.33576,119.244
0.0022,35.3493,-1.60901,-31.0286,20.077,-7.65307,4.87545,-16.203,-4.42914,-5.28131,6.06922,2.70544,-8.77465,29.28,-4.31444,-22.2539,8.987,-8.28564,-8.2536,0.727903,-1.30219e-12,1.24347e-12,9.34608e-307,-7.65307,4.87545,-16.203,-4.42914,-5.28131,114.608
0.0023,35.4686,-1.16063,-30.8291,20.6941,-7.33862,5.2646,-15.6301,-4.38498,-5.2423,6.21437,3.23433,-9.4487,29.2543,-4.39496,-21.3804,9.60407,-8.08078,-7.9732,1.31424,-1.2193e-12,1.31369e-12,1.11262e-306,-7.33862,5.2646,-15.6301,-4.38498,-5.2423,109.809
